Judul,Narasi,Indikator
 Foto Perempuan Muslim Uighur yang Dizalimi dan Doanya Memicu Azab Virus Corona,"Periksa Fakta oleh Riski Maulana (Anggota Komisariat MAFINDO BSI) Bukan perempuan Muslim Uighur yang dizalimi. Foto pertama adalah model busana perempuan Uighur pada tahun 1910-an, ",0
 Video KELUYURAN DILUAR RUMAH? DI MALAYSIA DITEMBAK API PAKAI DRONE,BUKAN di Malaysia. Video itu adalah aksi peluncuran kembang api yang dilakukan oleh seorang influencer Brasil dengan teman-temannya di Brasil. Video ini diunggah pada 16 ,0
" Mantap cara presiden Vladimir Putin, dengan menyebar hewan buas supaya warganya tidak keluar rumah",Foto tahun 2016 dan BUKAN di Rusia. Singa itu adalah seekor bintang dari sebuah film dan bernama Colombus. Aksinya berkeliaran di jalanan kota adalah bagian ,0
 akan ada penyemprotan racun untuk virus corona dari malaysia dan singapore melalui udara,Angkatan Tentera Malaysia menyatakan informasi viral terkait helikopter menyiram racun tersebut palsu alias hoax dan meminta semua pihak untuk tidak menyebarkannya. Selengkapnya di bagian PENJELASAN ,0
 100 GB Gratis Ulang Tahun ke 21 Google,"Domain resmi Google adalah google.com, BUKAN bit.ly/Google-Birthday-Offer. Selain itu, ultah Google yang ke 21 adalah tahun kemarin (2019). Selengkapnya di bagian PENJELASAN dan REFERENSI.  ",0
 Pasar Wameo dan Karya Nugraha di Tutup selama 1 minggu,Pesan berantai melalui Whatsapp mengenai penutupan pasar Wameo dan Karya Nugraha untuk menghindari kerumunan dan pembersihan di Kota Baubau merupakan informasi yang salah. Sekretaris Daerah ,0
 Foto Presiden Joko Widodo WFH (Working From Home),"Foto tahun 2016, saat itu Presiden Joko Widodo menonton pertandingan final pertama Piala AFF 2016 antara Indonesia dan Thailand pada Rabu 14 Desember 2016 yang ",0
 PDIP USUL KE PEMERINTAH AGAR PESANTREN DI TUTUP SELURUH INDONESIA,Hoaks lama beredar kembali. Klaim tersebut adalah tangkapan layar dari situs blogspot yang sudah dihapus oleh penyedia layanan. Dalam artikel dengan judul yang memuat klaim ,0
 Gambar Sampul Koran Tempo Gotong Royong Melawan Virus Corona,"Hasil suntingan. Judul asli: Tersandung Perkara Gula, terbitan 3 Mei 2019. Selengkapnya di bagian PENJELASAN dan REFERENSI. KATEGORI Konten yang Dimanipulasi.  SUMBER Akun ",0
 Wapres Maruf Amin Imbau Umat Islam Sholat Tobat agar Virus Corona Cepat Teratasi,"Foto Wapres Maruf yang diunggah akun Facebook Nomost atau nomost.nomost.1 pada Jumat, 20 Maret 2020 adalah foto kunjungan kerja Wapres Maruf ke Universitas Islam Negeri ",0
 DKI Jakarta mulai besok Lock down Warga di luar Jakarta tidak dibolehkan masuk kecuali ada izin polisi.,Dua kalimat bahwa  Jakarta mulai besok akan Lock down dan Warga di luar Jakarta tidak dibolehkan masuk kecuali ada izin polisi BUKAN berasal dari ,0
 Data Tol yang Ditutup Arah DKI Jakarta,"Postingan gambar mengenai data tol arah DKI Jakarta yang ditutup tidak benar. Corporate Communication & Community Development Group Head PT Jasa Marga, Dwimawan Heru melalui ",0
 Foto Keadaan kota kota di dunia saat Corona mendera datang. Jakarta paling beda€¦,Bukan foto keadaan Jakarta saat virus Corona COVID-19 dinyatakan positif ada di Indonesia pada tahun 2020. Foto itu sudah diunggah ke internet setidaknya sejak tahun ,0
 Poster Pageblug Sultan HB X Anjurkan Masak Sayur Lodeh 7 Warna,"Kahumas Biro Umum Humas dan Protokol Setda DIY: hoaks, BUKAN buatan Humas Pemda DIY maupun Keraton Yogyakarta. Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI ",0
" Gara-Gara Virus Corona, TKA China Digaji 200 Juta Per Tahun","Hasil Periksa Fakta Helmi Fadillah Dwi Putra (Anggota Komisariat MAFINDO IISIP) Postingan memelintir konteks pemberitaan dari cnnindonesia.com berjudul Dampak Corona, Buruh Gaji Rp200 Juta per Tahun Bebas ",0
 Video Donald Trump Ke WC Lupa Matikan Mic,"Video yang tersebar melalui Whatsapp merupakan video lama dari tahun 2015. Sosok dalam video tersebut bukan Donald Trump, melainkan Wali Kota Texas Dale Ross. ===== ",0
 Pemerintah Indonesia Berlakukan Lockdown per 20 Maret 2020,"Sebuah narasi beredar melalui pesan berantai Whatsapp dan juga media sosial Facebook. Dalam narasi yang beredar, disebutkan bahwa pemerintah akan segera berlakukan lockdown untuk Indonesia ",0
 Pasar Kodya Cirebon Ditutup Mulai 20 Maret 2020,Hasil Periksa Fakta Indri Pramesti Widyaningrum (Anggota Komisariat MAFINDO Universitas Gunadarma) Informasi yang menyatakan bahwa pasar di wilayah Cirebon ditutup pada 20 Maret 2020 adalah ,0
" Video Sholat Jumatan di China menjadi lautan manusia, orang Islam di Wuhan tidak Satupun yang kena virus corona","Bukan shalat Jumat, tapi shalat Idul Fitri. Video itu sudah ada sejak tahun 2018. Jauh sebelum saat pertama kali virus Corona Covid19 pada Desember 2019. ",0
 Pesan Berantai BUBARNYA AGAMA By. Ahmad Mustofa Bisri,"Klarifikasi Ienas Tsuroiya, salah satu puteri Ahmad Mustofa Bisri (Gus Mus): tulisan BUKAN karya beliau. Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI Konten yang ",0
 Senjata Biologis! Video Ini Bukti Tentara AS Sebar Corona di Bus Wuhan,"Bukan di Wuhan. Peristiwa di video itu terjadi di kereta bawah tanah di Brussels, Belgia. Pria tersebut sudah diamankan pihak kepolisian setempat pada Sabtu lalu. ",0
" DI WUHAN CINA KETIKA TERJADI VIRUS CORONA RAKYAT BERBONDONG2 KE MESJID, DI INDON RAKYAT DILARANG KE MESJID","Mahasiswa Indonesia asal Sabang Aceh, Teuku Agusti Ramadhan yang kuliah di Universitas Zhongnan, Wuhan, China mengatakan bahwa pada hari Jumat ( 31/01/2020 ) ia dan ",0
 Ganja Mampu Menangkal Covid-19,Hasil Periksa Fakta Auliyaa Muhammad Hesa (Anggota Komisariat MAFINDO UI & UKM FC UI) Sebuah artikel berita yang menyatakan Prof. Dr. Musri Masman mengatakan senyawa ,0
 Jokowi Positif Corona,"Postingan tangkapan layar yang menyebutkan Presiden Joko Widodo positif terjangkiti virus Corona atau COVID-19 tidak benar. Melalui akun Twitter resminya (jokowi), Presiden Jokowi mengumumkan dirinya ",0
" Corona Mudah Diatasi Jika Saya Jadi Presiden CHINA, Camkan Itu","Foto yang diunggah akun Facebook Lukman Nur Hakim adalah foto Presiden Jokowi saat memberikan keterangan pers pada Selasa, 3 Maret 2020 yang intinya meminta agar ",0
 WhatsApp: Hari jadi ke-9 DAPATKAN GRATIS 20 GB,"Hoaks daur ulang, hanya ganti tautan. Domain resmi Whatsapp adalah whatsapp.com, BUKAN giftwhats(dot)club atau yang lainnya. Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI Konten ",0
" Video Donald trump tiba2 tak sadarkan diri saat berpidato, dengernya dia udh trkena corona","Video tahun 2016 dan tidak terkait dengan virus Corona Covid-19. Saat itupun, Donald Trump yang sedang kampanye di Pusat Konvensi Reno, Nevada juga bukan tiba-tiba ",0
" Penyemprotan Disinfektan DKI Jakarta Dimulai 19 Maret 2020, Warga Dihimbau Tak Melintas",Sebuah pesan berantai beredar dengan klaim bahwa akan dilakukan penutupan sejumlah jalan yang ada di Jakarta dikarenakan akan dilakukan penyemprotan disinfektan dosis tingkat 1 melalui ,0
" Video Innalillahi, CommuterLine itu emang paling rawan penularannya","Berdasarkan klarifikasi dari pihak PT Kereta Commuter Indonesia (KCI), pria bermasker yang kejang-kejang pada video bertanggal 19 Maret 2020 mengalami sakit lambung. Setelah mendapat perawatan ",0
"Di tanya soal virus corona korlap FPI: hanya imam besar kami yg punya penangkal virus corona,karna imam besar kami cucu nabi",Hasil Periksa Fakta Dimas Aryalasa Nugroho (Anggota Komisariat MAFINDO Universitas Pancasila) Gambar pada postingan merupakan hasil suntingan. Gambar asli berasal dari instagram Sekretaris Kabinet (sekretaris.kabinet) ,0
 Donald Trump Umumkan Roche Medical Company akan Meluncurkan Vaksin Covid19 Jutaan Dosis Minggu Depan,Hasil Periksa Fakta Riski Maulana (Anggota Komisariat MAFINDO BSI) Tersebar videoklip pidato kepresidenan AS berdurasi 37 detik yang diklaim sebagai pengumuman Amerika sudah menemukan vaksin ,0
" Himbauan Penutupan TPU Akibat Virus Corona, Jenazah Diminta Diletakkan Terlebih Dahulu di Rumah",Hasil Periksa Fakta oleh Annisya Chintya Putri Ariswandi (Anggota Komisariat Mafindo BSI) Beredar informasi bahwa TPU Tanah Kusir ditutup dan dianjurkan untuk menunda pemakaman dan ,0
 Novel Terbitan 1981 Ini Sudah Prediksi Kemunculan Corona di Wuhan,"Meski ada tulisan Wuhan, tidak ada kesamaan lain antara Wuhan-400 dengan Virus Corona Covid-19. Periode inkubasi, tingkat kematian, dan sebagainya, sangat berbeda dengan pandemi yang ",0
" Corona sudah masuk ke TB telaga Bestari , pramugari lion air sdh terinfeksi dan saat ini di rawat di RS Annisa",Pihak Lion Air dan RS AN-NISA Tangerang sudah membantah kabar tersebut. Tidak ada Pramugari Lion Air terinfeksi virus corona atau Covid-19 sedang menjalani perawatan di ,0
 ikan humanoid dengan tangan dan kaki ditangkap di Laut Cina Selatan,"Pelintiran daur ulang. Robot animatronik, BUKAN ikan humanoid. Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI Konten yang Salah.  SUMBER Pesan berantai WhatsApp.  ",0
 Coronavirus akan hancur dengan air,"Ahli kesehatan mengatakan air biasa tidak bisa membunuh virus, dan pedoman dari lembaga kesehatan merekomendasikan agar orang-orang mencuci tangan dengan air dan sabun untuk dapat ",0
 Dosen Kedokteran Gigi UI Meninggal Karena COVID-19,Hasil Periksa Fakta Auliyaa Muhammad Hesa (Anggota Komisariat MAFINDO UI & UKM FC UI) Tidak ada dosen dari Fakultas Kedokteran Gigi (FKG) UI yang meninggal ,0
" Virus Corona Bukanlah Virus, Sinyal 5G yang Sebenarnya Membunuh Orang",Klaim postingan yang menyebutkan virus Corona bukan sebuah virus dan yang mematikan adalah sinyal 5G sudah diperiksa oleh Full Fact (organisasi periksa fakta di Inggris). ,0
 Video Gara2 corona ada orang jatuh dari motor cuma di liatin,"Bukan karena terjangkit virus Corona atau Covid-19. Pria dalam video itu terjatuh karena penyakit ayannya kambuh. Menurut saksi mata, Iron yang juga pemilik rumah makan ",0
" Joko Widodo, Presiden Republik Indonesia, memberlakukan kerantina parsial terbatas","Biro Pers, Media, dan Informasi Sekretariat Presiden memastikan bahwa narasi tersebut tidak bersumber dari pernyataan Presiden Joko Widodo maupun sumber lainnya. Selengkapnya di bagian PENJELASAN ",0
 Foto 1 korban dlm pengawasan Covid-19 di RS wahidin mks setelah bersalaman dgn Menhub Budi Karya,"Pria di foto itu, Mujahidin alias Moja menyatakan informasi yang beredar itu tidak benar alias hoaks. Moja yang juga Ketua Aliansi Driver Online Individu Makassar ",0
 Suspect Corona Yang Melarikan Diri Dari RS Persahabatan Merupakan Driver Ojek Online,Beredar di media sosial dan pesan berantai di aplikasi whatsapp foto seorang driver ojek online yang diklaim merupakan suspect corona yang kabur dari RS Persahabatan ,0
 Video ini di PGC evakuasi pasien COVID 19,"Property Manager PGC Jumono Josafat mengatakan, informasi yang disampaikan dalam video itu adalah hoaks alias tidak benar. Pasien yang diangkut ambulas itu tidak terinfeksi virus ",0
 Minum Banyak Air dan Berkumur dengan Air Hangat & Garam atau Cuka Dapat Menghilangkan Virus Corona Saat di Tenggorokan,"Berkumur beberapa kombinasi air hangat, garam, dan cuka telah lama digunakan sebagai cara menghilangkan gejala yang berhubungan dengan pilek dan flu, seperti sakit tenggorokan, tidak ",0
 Mahasiswa UNY Positif Corona,"Hasil Periksa Fakta Risky Maulana (Anggota Komisariat MAFINDO BSI) Tersebar sebuah hasil tangkapan layar yang mengatasnamakan Civitas UNY, dalam tangkapan layar tersebut terdapat narasi yang ",0
" Pandemi Corona, Anies Baswedan : Universitas di Jakarta Diliburkan, Kecuali Universitas Pancasila",Hasil periksa fakta Dimas Aryalasa Nugroho (Anggota Komisariat MAFINDO Universitas Pancasila) Gambar yang tersebar melalui pesan berantai merupakan hasil suntingan dari pemberitaan detik.com dengan judul ,0
" Mengonsumsi Pisang Dalam Sehari, Membuat Virus Corona Pergi",Hasil periksa fakta Indri Pramesti Widyaningrum (Anggota Komisariat MAFINDO Universitas Gunadarma) Postingan video yang beredar di Twitter mengenai hasil penelitian manfaat buah pisang untuk menangkal ,0
" Anjuran Mantan Menkes, Jemur Uang di Bawah Sinar Matahari Selama 30 Menit Bisa Cegah Penularan",Beredar sebuah narasi yang mencatut nama mantan Menteri Kesehatan Nila Moeloek seputar anjuran untuk menjemur uang di bawah sinar matahari selama 30 menit untuk menghindari ,0
 Satu Pasien Pertama Suspect Corona Terdeteksi di Atambua,Informasi adanya pasien suspek Corona pertama di Atambua merupakan informasi yang tidak benar. Pasien yang diduga sebagai suspek Corona sudah diperiksa pihak rumah sakit dan ,0
" Satu lagi Mentri Kabinet Jokowi Positif terpapar COVID-19, Menteri Nadien Dinyatakan Positif Virus Corona, Jalani Isolasi Secara Mandiri","Bukan Menteri di Kabinet Indonesia Maju. Kesalahan penulisan nama Nadine Dorries, Menteri Kesehatan Inggris yang positif terjangkit virus corona COVID-19 menjadi Nadien, menimbulkan salah presepsi ",0
 Chloroquine (Obat Malaria Klorokuin) bisa menyembuhkan covid-19,"Catatan Koreksi : Perkembangan tentang Chloroquine bisa dibaca di https://turnbackhoax.id/2020/03/21/berita-perkembangan-chloroquine-untuk-obat-covid-19/ ==== Janet Diaz, kepala perawatan klinis dalam Program Emergensi WHO, membantah klorokuin efektif menyembuhkan pasien ",0
 Surat Edaran Walikota Palembang Soal Virus Corona,Hasil Periksa Fakta Helmi Fadillah Dwi Putra (Anggota Komisariat MAFINDO IISIP) Beredarnya berita mengenai surat edaran Walikota Palembang merupakan informasi yang tidak benar. Informasi tersebut ,0
" Antisipasi Corona, Seluruh BUMN DKI Ditutup","Gambar suntingan / editan. Staf Khusus Menteri BUMN, Arya Sinulingga mengatakan bahwa kabar itu merupakan hoaks dengan mengedit tampilan sebuah stasiun televisi swasta yang menayangkan ",0
 Christiano Ronaldo Ubah Hotelnya Jadi RS Corona,"€˜Kami adalah hotel, bukan rumah sakit: Juru Bicara menyangkal rumor hotel Ronaldo yang berubah menjadi rumah sakit Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI ",0
" Jokowi Nyatakan JANGAN KELUAR RUMAH, KALO BOSAN NONTON DRAKOR SAJA","Screenshot atau tampilan layar dari CNN Indonesia yang bertajuk JANGAN KELUAR RUMAH, KALO BOSAN NONTON DRAKOR SAJA adalah hasil editan. Faktanya tampilan layar itu berjudul ",0
 China Akui Dokter Palestina Penemu Vaksin Corona yang Terbukti Ampuh 100 Persen,"Palestina dan negara-negara di Arab lainnya belum menemukan vaksin virus corona. Tidak ditemukan sumber informasi di dalam berita tersebut, termasuk tidak ada sumber resmi dari ",0
" Foto Di suruh diam di rumah 14 hari malah sibuk jalan2, bukan cuma jalan2 tapi bilang liburann lagii","Tiga foto itu diambil pada rentang 2017 dan 2018, jauh sebelum dikeluarkannya kebijakan sekolah libur oleh sejumlah pemerintah daerah menyusul semakin merebaknya virus Corona Covid-19 ",0
 COVID-19 Sudah Sampai Purwakarta,"Kabid P2P Dinkes Kabupaten Purwakarta: kondisinya sudah membaik, petugas dari dinas terkait akan terus memantau. Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI Konten yang ",0
 Dua orang Terinfeksi Virus Corona Di Parepare,Warga Parepare digegerkan dengan munculnya unggahan sebuah akun Facebook yang menyebut bahwa telah ditemukan dua orang positif terjangkit virus corona atau COVID-19 di Parepare. Sontak ,0
 Alkohol Bisa Membunuh Coronavirus Covid-19,"Gambar hasil suntingan / editan. Gambar tersebut berasal dari situs pembuat template meme. Template itu sengaja diproduksi untuk dipakai sebagai parodi. Menurut WHO, ketika virus ",0
" orang karangturi,balak cawas,sudah tertular virus corona","Jubir Satgas Percepatan Penanganan Covid-19 Klaten, Anggit Budiarto mengatakan bahwa informasi yang beredar tersebut tidak benar atau hoaks. Sampai saat ini belum ada warga Klaten ",0
 Ditemukannya Virus Corona atau COVID-19 di Tisu Toilet,"Postingan mengenai ditemukannya virus Corona atau COVID-19 di tisu toilet merupakan informasi yang tidak benar. Adapun, gambar yang ada pada postingan merupakan hasil rekayasa gambar ",0
 PASAR TANAH ABANG DI TUTUP SEMENTARA,"Sebuah akun Facebook mengunggah informasi terkait dengan ditutupnya Pasar Tanah Abang, guna menyesuaian instruksi dari Gubernur DKI Jakarta untuk mencegah persebaran virus corona atau COVID-19. ",0
" Corona Mewabah, Gubernur Ganjar Liburkan Driver Grab Grobogan Dan akan di ajukan oleh pihak Grab untuk memberi insetif 200rb per hari.","Judul suntingan / editan. Aslinya berjudul Corona Mewabah, Gubernur Ganjar Liburkan Sekolah se-Jateng Selengkapnya di bagian PENJELASAN dan REFERENSI===Kategori : Konten yang Dimanipulasi=== Beredar gambar ",0
" Sudah mau dimulai lockdown perwilayah, Lockdown Di Bali tanggal 25 maret 2020","Bukan terkait Virus Corona atau Covid-19. Penutupan seluruh bandara dan semua aktivitas masyarakat Bali dilakukan karena Hari Raya Nyepi, yang jatuh pada 25 Maret. Selengkapnya ",0
 Kapal Rute Banda Aceh Sabang Distop Karena Virus Corona,Sebuah pesan berantai Whatsapp beredar seiring dengan maraknya kasus virus corona di Indonesia. Salah satunya adalah terkait dengan informasi dihentikannya pelayaran sementara untuk kapal rute ,0
 Destinasi Wisata Jogja Tertutup dari Tgl 16-31 Maret,Sebuah akun Twitter membagikan informasi berupa tangkapan layar yang dibarengi dengan narasi bahwa destinasi wisata di Jogja tutup mulai hari ini tanggal 16 €“ 31 ,0
 Hasil Pemeriksaan Presiden Jokowi Positif Virus Corona,Screenshot atau tampilan layar dari detik.com yang dibagikan akun Facebook Yani Yani atau putra.mussaffir aslinya adalah bertajuk Presiden Jokowi Jalani Tes Virus Corona Sore Ini ,0
 suspect coronavirus ditemukan di salah satu terapis spa Hotel Goldenhands kelapa gading,"Dinas Pariwisata dan Kebudayaan DKI Jakarta menyebutkan penutupan Hotel Goldenhands, Kelapa Gading, tidak berkaitan dengan wabah COVID-19. Kasat Reskrim Polres Metro Jakarta Utara Kompol Wirdhanto ",0
 Jokowi Nyatakan Indonesia Di-Lockdown,"Presiden Jokowi dalam keterangan pers terkait bencana nasional non alam, wabah Covid-19 di Istana Bogor, Jawa Barat, Minggu (15/3/2020) tidak menyatakan bahwa Indonesia di-lockdown. Presiden ",0
 Video Jokowi biarkan TKA CHINA yg datang dari PUSAT WABAH CORONA utk masuk & tinggal di Indonesia,"Catatan Koreksi: Kepala Kantor Perwakilan Kemenkumham Sultra, Sofyan, mengonfirmasi bahwa 49 TKA asal China yang tiba di Bandara Haluoleo Kendari pada Minggu (15/3/2020), adalah TKA ",0
" Foto Jokowi Duduk Bersebelahan dengan Menhub Budi Karya, Disebut UDAH PAHAM DONK KORBAN SELANJUTNYA","Foto Presiden Jokowi yang duduk bersebelahan dengan Menhub, Budi Karya adalah foto saat keduanya menerima kunjungan beberapa sopir truk di Istana Negara, Jakarta Pusat, Selasa ",0
 Profesor Chen Horin mengatakan Lemon panas dapat membunuh sel kanker,Isu lama beredar kembali dan dikaitkan dengan Covid-19. WHO menyatakan tidak ada bukti bahwa obat saat ini dapat mencegah atau menyembuhkan penyakit. WHO tidak merekomendasikan ,0
 katanya Ada korban virus Corona di PIK,"Lokasi kejadian adalah di The Clementi Mall (Singapura), BUKAN di PIK (Pantai Indah Kapuk, Jakarta). Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI Konten yang ",0
" Queensland, Australia: Aktor Tom Hanks telah meninggal pada usia 63.",Pihak Tom langsung memberitahu bahwa ia menjadi korban hoax. Saat ini bintang film €˜Cast Away itu masih dalam keadaan yang sehat. Situs the-daily-star[dot]com sendiri adalah ,0
 Satu pasien virus corona dr Badau otw dirujuk ke rumah sakit rujukan Sintang,"Kepala Dinas Kesehatan Kabupaten Sintang, dr Harisinto Lynoh menegaskan apa yang disebarkan di media sosial merupakan hoaks. Sinto menyatakan saat ini ruang isolasi di Rumah ",0
 Video Ibadah Gereja di Riau Diganggu Warga Setempat,Peristiwa dalam video tersebut bukan terjadi di Riau ataupun Maret 2020. Peristiwa dalam video tersebut terjadi pada tahun 2012 mengenai penolakan Gereja HKBP Filadelfia di ,0
 the Simpsons 1993 memprediksi Corona virus dari China,Gambar hasil suntingan / editan. Potongan adegan kartun tersebut diambil dari dua episode The Simpsons yang berbeda. Kata €˜Corona Virus ditambahkan pada layar yang aslinya ,0
 Video Setelah 10 tahun mati di tembak jenazah pejuang syahid Imam Samudera masih segar,"Hoaks lama beredar kembali. Bukan mayat Imam Samudera. Melainkan mayat Yaser Bin M. Thamrin, seorang tahanan kasus tindak pidana terorisme di lapas Gunung Sindur, Bogor, ",0
" jangan ke Kokas dulu ya, mall di lockdown karena salah satu staff diatas ada yang suspect Covid-19",Manajemen Kota Kasablanka (Kokas) membantah isu yang beredar bahwa Mal Kokas diisolasi (lockdown) lantaran terdapat pengunjung ataupun pekerja yang terjangkit virus corona (Covid-19). Pelaku penyebar ,0
 Kokain Membunuh Coronavirus,Klaim kokain mampu membunuh virus Corona atau COVID-19 tidak berlandaskan bukti ilmiah. Gambar yang beredar merupakan gambar hasil suntingan menggunakan peranti digital di breakyourownnews.com. ===== ,0
 cuma pengen viralin biar dikasih efek jera,"Isu daur ulang, SUDAH ditangani oleh yang berkaitan pada tahun 2013. Peristiwa di Seberang Jaya (Penang, Malaysia), BUKAN di Indonesia. Selengkapnya di bagian PENJELASAN dan ",0
 KKN Jokowi dan UGM,"Memilih atau mengangkat Menteri, termasuk Sembilan (9) Menteri dari UGM adalah Hak Prerogratif Presiden Jokowi yang diatur dengan landasan hukum yang jelas. Selain itu pernyataan ",0
 Suntingan Video Planet Nibiru,"Hoaks daur ulang, versi sebelumnya: awan tanda kiamat. Untuk versi yang dilaporkan kali ini audio disunting diisi suara orang menangis. Selengkapnya di bagian PENJELASAN dan ",0
 minuman beralkohol bisa mengurangi risiko infeksi dari novel coronavirus; COVID-19,Pihak Saints Luke Hospital menegaskan tidak benar minum alkohol dapat menurunkan risiko terinfeksi virus corona. Saints Luke Hospital juga membantah surat edaran itu dari mereka. ,0
 Politisi India: Urin dan Kotoran Sapi Jadi Obat Virus Corona,"Menurut Health Analytic Asia, platform kolaborasi berita kesehatan yang dibuat oleh para jurnalis dan dokter di India, klaim tersebut tidak memiliki dasar ilmiah. Badan Kesehatan ",0
 Arahan Gubernur DKI Terkait Himbauan Covid-19,"Melalui pesan berantai Whatsapp, sebuah narasi himbauan terkait Covid-19 beredar dengan klaim himbauan tersebut merupakan arahan dari Gubernur. Pasca beredarnya informasi tersebut, pihak terkait pun ",0
 Video Penyiksan terhadap muslim India trus terjadi,"Video lama, dari konteks waktu TIDAK berkaitan dengan kondisi India baru-baru ini. Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI Konten yang Salah.  SUMBER ",0
